"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"Location (Kue Remix MCB Edit)","Khalid","5:09:36 PM","5:10:49 PM","00:01:13","2","","Location (Kue Remix MCB Edit)","95","C#m","2017","Other"
"Lost Ones","Lauryn Hill","5:10:14 PM","5:11:27 PM","00:01:13","1","","Lost Ones","95","Dm","1998","R&B/Soul"
"Doin It (SE) (Kutt Edit)","LL Cool J","5:10:49 PM","5:12:24 PM","00:01:35","2","","Doin It (SE) (Kutt Edit)","95","Fm","","90s"
"Southern Hospitality (Pro Mix MCB Short Edit)","Ludacris","5:11:27 PM","5:14:00 PM","00:02:33","1","","Southern Hospitality (Pro Mix MCB Short Edit)","95","Bm","2001","Other"
"Kick, Push (Intro - Clean)","Lupe Fiasco","5:12:24 PM","5:16:01 PM","00:03:37","2","","Kick, Push (Intro - Clean)","95","Am","","Other"
"California Soul (Clean)","Marlena Shaw","5:14:00 PM","5:15:08 PM","00:01:08","1","","California Soul (Clean)","95","C#m","1969","R&B"
"The I.N.C. Ride (Intro Clean)","Masta Ace Incorporated","5:15:08 PM","5:16:47 PM","00:01:39","1","","The I.N.C. Ride (Intro Clean)","95","Bm","","Hip Hop"
"You Rock My World (LNRP Mixshow Edit) (Clean)","Michael Jackson","5:16:01 PM","5:17:38 PM","00:01:37","2","","You Rock My World (LNRP Mixshow Edit) (Clean)","95","Am","2001","Other"
"I Keep Forgettin' (Everytime You're Near) (Intro Clean)","Michael McDonald","5:16:47 PM","5:19:31 PM","00:02:44","1","","I Keep Forgettin' (Everytime You're Near) (Intro Clean)","95","Em","1982","R&B"
"Drop & Gimme 50 (DJ Bizzon Ball Bootleg) DIRTY","Mike Jones","5:17:38 PM","5:18:07 PM","00:00:29","2","","Drop & Gimme 50 (DJ Bizzon Ball Bootleg) DIRTY","95","Am","",""
"Wockesha (XMiX Remix) (Clean)","Moneybagg Yo feat. Lil Wayne","5:18:33 PM","5:19:04 PM","00:00:31","2","","Wockesha (XMiX Remix) (Clean)","93","Em","2021","Urban"
"MXTT HXLL & Nick Bike - Jamaica Instrumental","MXTT HXLL","5:19:04 PM","5:20:28 PM","00:01:24","2","","MXTT HXLL & Nick Bike - Jamaica Instrumental","95","Abm","2020",""
"Lemon (PO DJ Mike D Intro Edit)","N.E.R.D f./Rihanna","5:19:31 PM","5:20:13 PM","00:00:42","1","","Lemon (PO DJ Mike D Intro Edit)","95","G#m","2017","Hip-Hop"
"Lemon (Remix With Intro)","N.E.R.D. (feat Rihanna & Drake)","5:20:13 PM","5:22:06 PM","00:01:53","1","","Lemon (Remix With Intro)","95","Cm","","Other"
"Get Free","NAKEN","5:20:28 PM","5:20:39 PM","00:00:11","2","","Get Free","95","Bm","2020",""
"Be Your Girl (Naken Edit)","NAKEN","5:20:39 PM","5:20:57 PM","00:00:18","2","","Be Your Girl (Naken Edit)","95","Em","2021",""
